trace,instructions,cycles,IPC,NumBr,MispBr,MR,MPKI
int_0_trace,40000041,14701131,2.7209,6223265,205309,3.2991,5.1327
int_10_trace,60000052,9673683,6.2024,7032592,32181,0.4576,0.5363
int_11_trace,60000052,16565909,3.6219,4130584,252356,6.1095,4.2059
int_12_trace,59999603,18454516,3.2512,6357220,27398,0.431,0.4566
int_13_trace,40000052,6237898,6.4124,4243961,36991,0.8716,0.9248
int_14_trace,39999640,6990422,5.7221,7635435,15865,0.2078,0.3966
int_15_trace,70000157,18505236,3.7827,9192864,33514,0.3646,0.4788
int_16_trace,40000031,19002465,2.105,6733574,325011,4.8267,8.1253
int_17_trace,39999987,16627232,2.4057,6659971,255794,3.8408,6.3949
int_18_trace,39999864,10814890,3.6986,9457814,33897,0.3584,0.8474
int_19_trace,40000052,8021952,4.9863,5852871,33928,0.5797,0.8482
int_1_trace,30000052,18836926,1.5926,5301134,349374,6.5906,11.6458
int_20_trace,60000051,17325628,3.4631,9561405,167471,1.7515,2.7912
int_21_trace,40000052,46437161,0.8614,9059172,966011,10.6633,24.1502
int_22_trace,40000052,23128965,1.7294,6671960,215859,3.2353,5.3965
int_23_trace,40000052,18507313,2.1613,5329093,139295,2.6139,3.4824
int_24_trace,40000051,14575551,2.7443,8385203,22650,0.2701,0.5662
int_25_trace,40000052,7682478,5.2067,2766410,52971,1.9148,1.3243
int_26_trace,40000052,6816682,5.868,2130479,53507,2.5115,1.3377
int_27_trace,40000052,6374047,6.2755,1891315,34912,1.8459,0.8728
int_28_trace,40000052,8459793,4.7283,4006233,146982,3.6688,3.6745
int_29_trace,40000052,15947770,2.5082,4048870,498290,12.3069,12.4572
int_2_trace,30000052,18874188,1.5895,5366311,328957,6.13,10.9652
int_30_trace,40000052,16300972,2.4538,4219863,517710,12.2684,12.9427
int_31_trace,40000052,4697945,8.5144,4773947,33645,0.7048,0.8411
int_32_trace,110000052,86305978,1.2745,12636052,765057,6.0546,6.9551
int_33_trace,110000052,54219198,2.0288,16062450,878648,5.4702,7.9877
int_34_trace,40000052,11174604,3.5795,6380286,122813,1.9249,3.0703
int_35_trace,40000048,11505122,3.4767,5671843,98587,1.7382,2.4647
int_36_trace,53761949,35582808,1.5109,7755130,214083,2.7605,3.9821
int_3_trace,40000052,7066304,5.6607,4722773,35272,0.7468,0.8818
int_4_trace,59999657,13829330,4.3386,7683892,248274,3.2311,4.1379
int_5_trace,30000052,6651431,4.5103,2565027,85651,3.3392,2.855
int_6_trace,30000052,7614002,3.9401,3119970,88751,2.8446,2.9584
int_7_trace,40000048,14743504,2.7131,5944145,230358,3.8754,5.7589
int_8_trace,40000052,16330173,2.4495,5678944,287725,5.0665,7.1931
int_9_trace,40000050,14340761,2.7893,5800876,194221,3.3481,4.8555
